nr	PrisPerLiter	fyllighet	stravhet	fruktsyra	Namn	desc	Forpackning
463801	Stellenbosch Reserve	172.00	10	10	10	Fruktig, balanserad smak med tydlig, rostad fatkaraktär, inslag av svarta vinbär, inslag av mörka körsbär, inslag av ceder, inslag av kaffe, inslag av choklad, inslag av kryddor	Flaska
214001	Misty Cove	198.67	5	5	10	Nyanserad, kryddig smak med fatkaraktär, inslag av jordgubbar, inslag av ingefära, inslag av körsbär, inslag av nougat, inslag av kryddpeppar, inslag av hallon	Flaska
645501	Reyneke Vinehugger	109.33	7	7	9	Mycket fruktig, ungdomlig smak med inslag av fat, inslag av svarta vinbär, inslag av skogshallon, inslag av örter, inslag av mjölkchoklad	Flaska
624201	Murdoch James Estate	212.00	7	6	9	Kryddig, nyanserad smak med fatkaraktär, inslag av plommon, inslag av sandelträ, inslag av ingefära, inslag av jordgubbar, inslag av kanel, inslag av choklad	Flaska
7178501	Gran Appasso	118.67	9	7	9	Kryddig, fruktig smak med liten sötma, inslag av fat, inslag av russin, inslag av körsbärspraliner, inslag av kryddnejlika, inslag av vanilj	Flaska
7648501	Borgi	105.33	7	6	9	Fruktig smak med inslag av körsbär, inslag av jordgubbar, inslag av lakrits	Flaska
464101	Cono Sur	132.00	6	5	10	Kryddig smak med fatkaraktär, inslag av jordgubbar, inslag av choklad, inslag av kanel, inslag av hallon, inslag av lakrits, inslag av örter	Flaska
3105001	Gutevin	265.33	5	5	11	Bärig smak med fatkaraktär, inslag av blåbär, inslag av slånbär, inslag av vanilj, inslag av örter	Flaska
233901	Torraccia del Piantavigna	225.33	9	10	10	Mogen, nyanserad, kryddig smak med fatkaraktär, inslag av torkade körsbär, inslag av kakao, inslag av nypon, inslag av rosor, inslag av kanel, inslag av pomerans, inslag av nougat	Flaska
321101	Imago	132.00	8	8	9	Fruktig, ungdomlig smak med inslag av blåbär, inslag av viol, inslag av svarta vinbär, inslag av lakrits, inslag av kryddor, inslag av örter	Flaska
236802	Langhe Nebbiolo	237.33	9	11	11	Nyanserad, kryddig smak med inslag av fat, inslag av mörka körsbär, inslag av nypon, inslag av rosor, inslag av kakao, inslag av nötter, inslag av ceder, inslag av vanilj	Flaska
239901	Langhe Rosso	145.33	7	7	10	Kryddig, nyanserad smak med inslag av fat, inslag av körsbär, inslag av sandelträ, inslag av hallon, inslag av kryddnejlika, inslag av pomerans	Flaska
233408	Ciù Ciù di Bartolomei	79.67	8	8	9	Fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av choklad, inslag av lakrits, inslag av kanel	Box
360101	Château Quinsac	158.67	9	9	9	Fruktig, nyanserad smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av mörk choklad, inslag av plommon, inslag av kaffe, inslag av ceder	Flaska
362602	Château Plantier Rose	346.67	10	9	9	Nyanserad, fruktig smak med tydlig rostad fatkaraktär, inslag av svarta vinbär, inslag av kokos, inslag av plommon, inslag av ceder, inslag av kaffe och kakao. Severas vid cirka 18°C till rätter av mörkt kött.	Flaska
222801	Baron de Saint Jean	145.33	8	8	9	Fruktigt, smakrikt vin med inslag av hallon, inslag av blåbär, inslag av viol, inslag av lakrits, inslag av körsbär och färska örter.	Flaska
7241301	Grillo	132.00	9	7	9	Mycket fruktig smak med inslag av fat, inslag av björnbär, inslag av mörka körsbär, inslag av blåbär, inslag av muskot, inslag av örter och svarta vinbär.	Flaska
243508	Footsteps	79.67	8	8	9	Fruktig, ungdomlig smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av björnbär, inslag av choklad, inslag av smörkola, inslag av vanilj	Box
279401	Bikandi	118.67	8	8	9	Fruktig smak med fatkaraktär, inslag av plommon, inslag av björnbär, inslag av mörka körsbär, inslag av vanilj, inslag av choklad	Flaska
297401	Ruppertsberger	105.33	5	4	9	Bärig smak med inslag av jordgubbar, inslag av körsbär, inslag av kryddor, inslag av pomerans	Flaska
7443501	Primo	109.33	7	7	10	Kryddig smak med fatkaraktär, inslag av torkade tranbär, inslag av mjölkchoklad, inslag av pinjenötter, inslag av pomerans	Flaska
